Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking,
aceh timur - nurussalam,5,0.00,14.45,17.55,0.00,55.13,9.04,100.00,9.68,14.11,73.01,132,
aceh timur - peureulak,5,0.00,14.45,23.18,0.00,39.62,9.70,100.00,8.21,12.01,76.36,91,
aceh timur - rantau selamat,5,0.01,14.45,14.94,0.00,25.50,8.08,100.00,10.75,29.61,75.60,105,
aceh timur - simpang ulim,6,0.00,14.45,34.30,0.00,11.32,8.85,100.00,7.38,8.51,79.36,60,
aceh timur - rantau peureulak,6,0.00,14.45,18.11,0.00,31.83,9.67,100.00,7.93,5.21,79.23,62,
aceh timur - pante bidari,5,0.00,14.45,12.47,0.00,44.88,8.29,100.00,18.88,14.62,71.09,155,
aceh timur - madat,4,0.00,14.45,19.45,0.00,54.42,8.34,100.00,27.17,14.79,65.12,208,
aceh timur - indra makmu,6,0.02,14.45,17.38,0.00,32.41,9.43,84.01,2.20,6.91,81.86,36,
aceh timur - idi tunong,6,0.00,14.45,12.29,0.00,44.14,9.46,64.40,6.98,14.39,79.13,66,
aceh timur - banda alam,5,0.00,14.45,18.02,0.00,51.99,9.77,100.00,7.53,22.60,74.31,117,
aceh timur - peudawa,5,0.01,14.45,23.45,0.00,41.52,8.21,76.60,13.66,5.13,74.12,119,
aceh timur - peureulak timur,5,0.01,14.45,11.07,0.00,7.60,8.49,100.00,23.32,15.71,76.15,94,
aceh timur - peureulak barat,5,0.00,14.45,24.63,0.00,24.49,9.30,100.00,7.21,15.93,78.37,75,
aceh timur - sungai raya,5,0.00,14.45,13.25,0.00,15.76,7.47,100.00,21.27,4.80,75.17,109,
aceh timur - simpang jernih,5,0.02,14.45,7.86,0.00,76.93,9.81,100.00,5.96,13.33,72.98,133,
aceh timur - darul ihsan,6,0.01,14.45,21.48,0.00,12.08,11.34,67.28,8.68,15.11,84.46,18,
aceh timur - darul falah,4,0.00,14.45,40.03,2.70,41.86,9.15,100.00,12.90,6.18,65.59,206,
aceh timur - idi timur,5,0.01,14.45,23.09,0.00,19.61,9.52,100.00,14.95,17.23,76.48,88,
aceh timur - peunaron,4,0.00,14.45,8.27,0.00,83.47,8.45,100.00,8.92,30.22,67.59,190,
aceh tengah - linge,4,0.03,15.26,8.82,0.00,72.82,8.64,100.00,8.47,32.34,67.69,189,
aceh tengah - silih nara,4,0.03,15.26,17.77,0.00,52.00,9.20,76.56,21.61,25.50,67.29,192,
aceh tengah - bebesen,5,1.12,15.26,24.44,0.00,17.32,11.26,24.58,12.90,28.34,73.93,121,
aceh tengah - pegasing,5,0.01,15.26,17.53,0.00,46.05,10.40,72.79,14.30,4.13,74.93,110,
aceh tengah - bintang,5,0.01,15.26,19.77,0.00,21.28,9.60,100.00,16.19,18.62,74.44,116,
aceh tengah - ketol,4,0.06,15.26,15.80,0.00,85.51,9.54,100.00,8.10,23.00,66.26,199,
aceh tengah - kebayakan,6,0.10,15.26,16.74,0.00,20.32,10.58,42.68,13.49,7.82,80.79,44,
aceh tengah - kute panang,5,0.08,15.26,11.68,0.00,40.48,9.44,42.76,20.66,5.27,74.30,118,
aceh tengah - celala,5,0.00,15.26,19.27,0.00,29.07,8.49,100.00,21.04,1.66,71.73,147,
aceh tengah - laut tawar,6,0.03,15.26,24.01,0.00,10.52,11.40,63.41,8.26,7.69,83.65,23,
aceh tengah - atu lintang,1,5.00,15.26,42.53,0.00,11.97,8.11,100.00,17.28,51.72,37.41,260,
aceh tengah - jagong jeget,3,0.38,15.26,23.65,3.24,50.17,9.43,100.00,20.52,37.75,55.73,250,
aceh tengah - bies,6,0.08,15.26,16.99,0.00,14.75,10.62,27.75,14.24,0.52,83.10,30,
aceh tengah - rusip antara,3,0.03,15.26,15.68,1.52,82.46,9.61,100.00,21.74,11.46,59.42,239,
aceh barat - johan pahwalan,5,0.02,18.81,28.19,0.00,2.89,11.41,21.39,12.28,18.21,76.62,84,
aceh barat - kaway xvi,5,0.00,18.81,10.28,0.00,19.75,9.93,100.00,11.41,4.13,72.45,140,
aceh barat - sungai mas,3,0.00,18.81,17.32,0.00,84.67,9.22,100.00,7.44,36.67,57.67,245,
aceh barat - woyla,5,0.00,18.81,7.66,0.00,26.41,8.44,100.00,11.56,8.16,69.62,167,
aceh barat - samatiga,5,0.00,18.81,14.38,0.00,10.35,11.14,96.36,9.06,8.48,75.48,107,
aceh barat - bubon,4,0.00,18.81,12.04,0.00,17.93,9.64,100.00,14.45,35.45,67.96,187,
aceh barat - arongan lambalek,4,0.00,18.81,10.72,0.00,27.66,8.45,100.00,13.77,8.72,68.02,186,
aceh barat - pante ceureumen,4,0.00,18.81,8.83,0.00,64.00,8.69,100.00,14.73,9.65,61.75,227,
aceh barat - meureubo,5,0.01,18.81,24.17,0.00,14.78,10.37,77.31,13.93,4.68,71.80,146,
aceh barat - woyla barat,4,0.00,18.81,6.21,0.00,40.44,8.90,100.00,16.53,22.32,64.56,215,
aceh barat - woyla timur,3,0.00,18.81,8.45,0.00,67.61,8.34,100.00,12.63,28.02,59.85,238,
aceh barat - panton reu,3,0.00,18.81,7.74,0.00,61.85,8.80,100.00,18.64,24.80,59.40,240,
aceh besar - lhoong,5,0.00,14.05,10.97,0.00,54.93,8.67,100.00,15.13,17.85,71.98,142,
aceh besar - lhoknga,6,0.01,14.05,24.05,0.00,0.00,9.62,100.00,13.58,15.81,81.39,39,
aceh besar - indrapuri,6,0.00,14.05,7.07,0.00,10.78,10.28,100.00,10.61,24.62,83.18,29,
aceh besar - seulimeum,5,0.00,14.05,9.10,2.80,25.42,9.22,100.00,7.13,40.84,72.82,136,
aceh besar - montasik,6,0.00,14.05,11.36,0.00,7.74,10.63,41.48,17.26,29.49,83.45,27,
aceh besar - sukamakmur,6,0.00,14.05,18.41,0.00,16.28,10.95,45.26,10.12,30.48,83.75,22,
aceh besar - darul imarah,6,0.02,14.05,35.86,0.00,0.00,10.99,15.51,9.13,6.26,88.16,6,
aceh besar - peukan bada,6,0.01,14.05,18.12,0.00,8.50,10.77,41.19,11.39,19.23,85.69,13,
aceh besar - mesjid raya,6,0.18,14.05,22.47,0.00,6.44,10.98,100.00,9.35,28.24,81.38,40,
aceh besar - ingin jaya,6,0.01,14.05,22.92,0.00,9.81,10.27,20.12,8.05,22.37,86.37,12,
aceh besar - kuta baro,6,0.00,14.05,13.24,0.00,13.17,9.05,44.90,15.08,31.49,80.98,42,
aceh besar - darussalam,6,0.00,14.05,29.24,0.00,0.00,10.52,38.82,8.29,29.21,85.65,14,
aceh besar - pulo aceh,4,0.00,14.05,44.60,1.49,42.07,9.60,100.00,9.08,28.83,68.15,184,
aceh besar - lembah seulawah,5,0.00,14.05,8.82,0.00,49.47,8.78,100.00,5.78,25.32,76.35,92,
aceh besar - kota jantho,6,0.00,14.05,12.51,0.00,17.18,9.96,100.00,9.47,20.68,81.71,37,
aceh besar - kota cot glie,5,0.00,14.05,7.16,0.00,41.89,9.23,100.00,11.39,26.37,76.11,96,
aceh besar - kuta malaka,6,0.00,14.05,18.56,0.00,41.60,12.08,32.14,13.89,25.30,80.24,53,
aceh besar - simpang tiga,5,0.00,14.05,12.53,0.00,76.93,9.62,29.67,15.32,14.39,72.94,134,
aceh besar - darul kamal,6,0.01,14.05,13.79,0.00,7.03,12.01,34.39,12.34,27.01,87.24,10,
aceh besar - baitussalam,6,0.09,14.05,25.43,0.00,0.00,10.96,26.05,7.04,22.95,87.95,7,
aceh besar - krueng barona jaya,6,0.03,14.05,17.48,0.00,0.00,9.81,8.09,8.13,13.97,89.70,4,
aceh besar - leupung,6,0.01,14.05,10.08,0.00,8.11,9.56,100.00,14.48,34.74,79.86,56,
aceh besar - blang bintang,6,0.00,14.05,12.98,0.00,12.22,11.72,40.54,10.89,20.02,87.08,11,
pidie - batee,5,0.01,19.59,5.59,0.00,21.96,8.50,33.66,10.18,3.05,73.68,127,
