Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking,
simeulue - simeulue barat,4,0.01,18.98,10.55,0.00,23.54,9.06,100.00,9.04,26.35,69.21,170,
simeulue - teupah selatan,4,0.00,18.98,14.67,1.67,27.34,9.26,100.00,10.24,30.40,63.62,218,
simeulue - alapan,4,0.00,18.98,6.56,0.00,72.13,9.07,100.00,7.69,28.50,61.69,228,
simeulue - teupah tengah,4,0.01,18.98,25.54,0.00,15.10,9.77,100.00,14.29,27.26,67.00,195,
simeulue - simeulue cut,5,0.00,18.98,13.41,0.00,0.00,11.43,63.21,12.42,30.34,75.72,103,
aceh singkil - pulau banyak,5,0.05,20.36,8.19,0.00,25.91,9.44,35.76,7.26,36.42,69.55,168,
aceh singkil - simpang kanan,4,0.02,20.36,10.60,0.00,58.49,9.09,100.00,7.46,14.00,61.99,224,
aceh singkil - singkil,1,5.00,20.36,10.41,0.00,28.20,9.13,100.00,11.21,3.32,37.01,261,
aceh singkil - gunung meriah,4,0.07,20.36,19.53,0.00,36.23,9.28,100.00,9.75,31.40,61.80,225,
aceh singkil - kota baharu,1,5.00,20.36,22.56,0.00,20.05,9.16,100.00,12.74,15.48,34.83,262,
aceh singkil - singkil utara,2,3.17,20.36,16.95,0.00,7.87,10.97,100.00,21.51,13.00,47.54,256,
aceh singkil - danau paris,4,0.01,20.36,4.79,0.00,40.36,8.74,100.00,7.29,38.39,63.43,219,
aceh singkil - suro makmur,3,0.01,20.36,10.46,0.00,80.63,8.70,100.00,10.91,18.24,55.99,249,
aceh singkil - singkohor,1,5.00,20.36,22.29,0.00,31.80,9.47,100.00,15.95,1.83,33.21,263,
aceh singkil - kuala baru,1,5.00,20.36,6.65,0.00,23.75,9.13,100.00,8.96,2.94,39.29,258,
aceh singkil - pulau banyak barat,1,5.00,20.36,34.68,2.52,37.75,9.15,100.00,14.03,9.72,24.40,264,
bireuen - samalanga,6,0.00,13.25,10.90,0.00,8.10,8.87,66.39,23.66,1.12,82.09,33,
bireuen - jeunieb,6,0.00,13.25,8.39,0.00,44.93,8.42,79.23,10.20,6.42,79.68,57,
bireuen - peudada,5,0.00,13.25,10.31,1.61,33.59,8.72,100.00,18.90,10.05,73.26,130,
bireuen - jeumpa,6,0.01,13.25,9.00,0.00,41.11,8.88,61.66,17.10,5.64,79.02,67,
bireuen - peusangan,6,0.01,13.25,12.73,0.00,30.62,10.19,13.77,18.28,3.05,84.04,20,
bireuen - makmur,6,0.00,13.25,14.61,0.00,33.86,10.25,51.99,8.50,3.67,85.03,16,
bireuen - gandapura,6,0.00,13.25,7.62,0.00,59.31,9.39,15.81,9.93,11.37,81.34,41,
bireuen - pandrah,6,0.00,13.25,6.69,0.00,54.83,10.04,100.00,8.14,16.57,78.69,71,
bireuen - juli,5,0.01,13.25,8.65,1.79,44.71,9.43,92.10,10.23,5.50,76.17,93,
bireuen - jangka,6,0.01,13.25,12.90,2.73,5.86,9.02,18.33,17.09,8.37,80.79,45,
bireuen - simpang mamplam,6,0.00,13.25,9.68,0.00,16.69,9.21,96.58,20.50,2.49,80.66,46,
bireuen - peulimbang,6,0.00,13.25,5.98,0.00,0.00,8.58,100.00,18.28,5.19,83.89,21,
bireuen - kota juang,6,0.01,13.25,13.45,0.00,7.11,10.73,9.50,7.77,1.91,93.06,2,
bireuen - kuala,6,0.00,13.25,15.88,0.00,0.00,10.54,12.49,12.60,6.22,91.30,3,
bireuen - peusangan siblah krueng,6,0.00,13.25,11.70,0.00,26.23,9.24,66.02,9.42,14.38,83.57,24,
bireuen - peusangan selatan,6,0.01,13.25,18.35,0.00,30.64,8.88,76.54,14.17,8.01,79.53,58,
bireuen - kuta blang,6,0.00,13.25,14.38,0.00,43.52,10.30,21.62,14.34,6.18,82.49,32,
aceh barat daya - blang pidie,5,0.00,16.34,21.92,0.00,15.86,9.95,100.00,11.57,4.16,76.45,89,
aceh barat daya - tangan-tangan,5,0.00,16.34,10.76,0.00,33.82,9.20,84.13,10.57,12.44,74.66,112,
aceh barat daya - manggeng,4,0.00,16.34,8.97,0.00,51.83,8.01,44.99,21.94,19.46,67.42,191,
aceh barat daya - susoh,6,0.00,16.34,17.41,0.00,13.05,9.43,15.36,12.90,11.06,80.39,49,
aceh barat daya - kuala batee,5,0.00,16.34,14.03,0.00,16.34,9.30,100.00,17.92,19.08,72.94,135,
aceh barat daya - babah rot,4,0.00,16.34,15.25,0.00,48.86,8.26,100.00,16.20,20.85,66.44,197,
aceh barat daya - setia,5,0.00,16.34,13.21,0.00,37.01,9.04,100.00,10.60,15.28,72.43,141,
aceh barat daya - jeumpa,5,0.00,16.34,11.70,0.00,29.79,9.11,100.00,10.89,23.14,73.12,131,
aceh barat daya - lembah sabil,5,0.00,16.34,10.09,0.00,16.53,9.27,100.00,20.69,6.32,73.61,128,
gayo lues - blangkejeren,5,0.01,19.64,19.02,0.00,8.96,9.81,100.00,13.35,0.74,70.65,158,
gayo lues - kutapanjang,4,0.00,19.64,28.14,0.00,17.39,9.72,100.00,10.56,6.35,68.29,181,
gayo lues - rikit gaib,5,0.01,19.64,10.10,0.00,17.71,9.32,100.00,9.08,14.15,70.37,161,
gayo lues - terangun,3,0.03,19.64,12.26,0.00,59.34,8.03,100.00,14.19,33.67,57.33,246,
gayo lues - pining,5,0.01,19.64,6.16,0.00,0.00,8.81,100.00,11.77,23.58,71.49,151,
gayo lues - blangpegayon,4,0.01,19.64,14.08,0.00,24.78,8.45,100.00,8.72,9.36,68.18,183,
gayo lues - puteri betung,3,0.06,19.64,13.30,0.00,72.29,8.51,100.00,8.41,21.23,58.73,243,
gayo lues - dabun gelang,4,0.00,19.64,7.73,0.00,10.89,8.92,100.00,25.31,7.12,65.77,202,
gayo lues - blangjerango,4,0.00,19.64,11.92,0.00,36.24,8.85,100.00,14.98,3.64,65.04,209,
gayo lues - teripe jaya,3,0.01,19.64,38.31,0.00,15.10,7.87,100.00,23.44,45.41,56.24,248,
gayo lues - pantan cuaca,4,0.02,19.64,8.37,0.00,30.50,7.82,100.00,9.37,23.61,65.68,203,
aceh jaya - teunom,5,0.01,13.23,16.38,0.00,66.07,9.40,100.00,12.55,6.77,73.76,124,
aceh jaya - krueng sabee,6,0.01,13.23,19.30,0.00,9.85,9.70,100.00,10.53,15.25,83.46,26,
aceh jaya - setia bhakti,5,0.00,13.23,17.10,0.00,19.22,9.22,100.00,20.28,28.41,76.54,85,
aceh jaya - sampoiniet,6,0.01,13.23,11.17,0.00,15.35,8.21,100.00,9.84,37.53,80.24,52,
aceh jaya - jaya,5,0.00,13.23,10.41,0.00,36.06,8.67,100.00,21.07,19.26,74.60,114,
aceh jaya - panga,5,0.00,13.23,10.72,1.70,42.83,9.12,100.00,12.71,16.38,73.70,126,
aceh jaya - indra jaya,5,0.00,13.23,11.49,1.17,7.70,8.96,100.00,18.19,31.09,77.12,82,
aceh jaya - darul hikmah,5,0.00,13.23,11.59,3.42,15.27,8.31,100.00,17.01,32.18,70.50,159,
aceh jaya - pasie raya,5,0.00,13.23,6.67,0.00,44.69,8.12,100.00,12.08,25.45,76.01,98,
nagan raya - kuala,5,0.01,18.23,12.91,0.00,12.60,9.77,100.00,14.25,17.13,71.94,143,
nagan raya - seunagan,5,0.00,18.23,13.48,0.00,11.39,9.24,49.76,7.42,21.68,76.45,90,
nagan raya - seunagan timur,4,0.00,18.23,13.97,0.00,45.46,10.16,100.00,10.70,6.63,68.90,174,
nagan raya - beutong,4,0.00,18.23,10.18,0.00,42.92,9.84,100.00,20.72,17.36,64.58,214,
nagan raya - darul makmur,4,0.08,18.23,10.21,0.00,28.29,7.85,100.00,21.39,20.71,63.91,217,
nagan raya - suka makmue,4,0.00,18.23,33.18,0.00,12.96,9.34,81.84,14.34,20.51,68.95,173,
nagan raya - kuala pesisir,5,0.01,18.23,13.93,0.00,12.01,10.19,58.27,7.43,15.65,77.35,79,
nagan raya - tadu raya,4,0.01,18.23,11.66,0.00,29.07,8.09,100.00,11.70,20.65,68.09,185,
nagan raya - tripa makmur,3,0.02,18.23,7.80,0.00,60.09,8.19,100.00,19.01,23.69,60.10,236,
nagan raya - beutong ateuh banggalang,4,0.00,18.23,8.31,0.00,58.84,7.47,100.00,7.46,43.81,62.20,223,
aceh tamiang - manyak payed,6,0.00,13.34,14.24,0.00,16.33,9.69,81.19,10.26,23.12,83.23,28,
aceh tamiang - bendahara,5,0.00,13.34,15.87,3.16,8.70,9.06,75.73,15.88,5.06,76.51,86,
aceh tamiang - karang baru,6,0.01,13.34,16.08,0.00,6.38,10.31,67.37,9.53,4.19,88.18,5,
